name,poptot,pwhit,pblck,phisp,pasin,poth,prent,pownr,mhhinc,fz_cat,fzr20_100y,fzr50_100y,bct2020,tract,key
"Census Tract 130, Queens County, New York",1757,0.32498577120091066,0.04723961297666477,0.3836084234490609,0.17245304496300512,0.0717131474103585,0.5912945166760882,0.4087054833239118,62961,Not in flood zone,0,0,4013000,013000,081013000
"Census Tract 134, Queens County, New York",5904,0.45918021680216803,0.09078590785907859,0.2621951219512195,0.12415311653116531,0.06368563685636852,0.6285444234404537,0.3714555765595463,80304,Not in flood zone,0,0,4013400,013400,081013400
"Census Tract 141, Queens County, New York",1645,0.5702127659574469,0.015805471124620062,0.24924012158054712,0.10273556231003039,0.062006079027355554,0.8201183431952662,0.17988165680473372,74712,Not in flood zone,0,0,4014100,014100,081014100
"Census Tract 145, Queens County, New York",2368,0.6081081081081081,0.014358108108108109,0.21072635135135134,0.09966216216216216,0.06714527027027029,0.7211497211497212,0.27885027885027885,84038,Not in flood zone,0,0,4014500,014500,081014500
"Census Tract 148, Queens County, New York",2186,0.03339432753888381,0.08645928636779505,0.217291857273559,0.4172003659652333,0.2456541628545288,0.2848297213622291,0.7151702786377709,60227,Not in flood zone,0,0,4014800,014800,081014800
"Census Tract 152, Queens County, New York",2638,0.03828658074298711,0.12964366944655042,0.24753601213040183,0.3066717210007581,0.27786201667930255,0.48809934460158677,0.5119006553984132,72917,Not in flood zone,0,0,4015200,015200,081015200
"Census Tract 10, Queens County, New York",3789,0.0844550013196094,0.03378200052784376,0.6286619160728424,0.21430456584850885,0.03879651623119562,0.5411633109619687,0.4588366890380313,100343,Not in flood zone,0,0,4001000,001000,081001000
"Census Tract 12, Queens County, New York",4183,0.1611283767630887,0.03562036815682525,0.562514941429596,0.20296437963184316,0.03777193401864687,0.64149377593361,0.35850622406639004,83113,Not in flood zone,0,0,4001200,001200,081001200
"Census Tract 18, Queens County, New York",3044,0.10183968462549277,0.040735873850197106,0.5886990801576872,0.21057818659658345,0.0581471747700395,0.4413235859946133,0.5586764140053867,85163,Not in flood zone,0,0,4001800,001800,081001800
"Census Tract 24, Queens County, New York",2195,0.10933940774487472,0.06514806378132118,0.6113895216400911,0.16082004555808657,0.05330296127562639,0.5131348511383538,0.4868651488616462,72563,Not in flood zone,0,0,4002400,002400,081002400
"Census Tract 36, Queens County, New York",4195,0.06603098927294399,0.05172824791418355,0.4429082240762813,0.36209773539928486,0.07723480333730626,0.6067605633802817,0.39323943661971833,79850,Not in flood zone,0,0,4003600,003600,081003600
"Census Tract 37, Queens County, New York",2,0.5,0,0.5,0,0,NA,NA,NA,Not in flood zone,0,0,4003700,003700,081003700
"Census Tract 291, Queens County, New York",7341,0.121100667483994,0.014984334559324342,0.24369976842392044,0.5899741179675794,0.030241111565181833,0.7398518041237113,0.2601481958762887,61281,Not in flood zone,0,0,4029100,029100,081029100
"Census Tract 81, Queens County, New York",1761,0.4599659284497445,0.04202157864849517,0.2674616695059625,0.16695059625212946,0.06360022714366831,0.7922824302134647,0.2077175697865353,77283,2020 100-year flood zone,1,1,4008100,008100,081008100
"Census Tract 156, Queens County, New York",3210,0.019937694704049845,0.14454828660436136,0.14236760124610592,0.4043613707165109,0.288785046728972,0.2906586021505376,0.7093413978494624,70000,Not in flood zone,0,0,4015600,015600,081015600
"Census Tract 509, Kings County, New York",5112,0.8675665101721439,0.007433489827856025,0.06025039123630673,0.015062597809076683,0.049687010954616584,0.6702440713172927,0.3297559286827073,35234,2050 100-year flood zone,0,1,3050900,050900,047050900
"Census Tract 512, Kings County, New York",5946,0.1506895391860074,0.5090817356205852,0.24402959973091154,0.04322233434241507,0.0529767911200808,0.9328371126882465,0.0671628873117535,63352,Not in flood zone,0,0,3051200,051200,047051200
"Census Tract 513, Kings County, New York",5526,0.4905899384726746,0.05030763662685487,0.31451321027868256,0.08794788273615635,0.056641331885631585,0.8639064240623839,0.13609357593761603,114295,2050 100-year flood zone,0,1,3051300,051300,047051300
"Census Tract 519, Kings County, New York",6101,0.6771021144074741,0.01868546139977053,0.13473201114571381,0.11080150794951647,0.05867890509752505,0.8569484936831876,0.14305150631681243,180066,2020 100-year flood zone,1,1,3051900,051900,047051900
